procedure_id,mouse_id,procedure_type,procedure_date,series_id,session_no,operator,anesthesia,anesthesia_route,analgesia,analgesia_route,construct/dye,injection_route,site1_hemi,site1_region,site1_ap,site1_ml,site1_dv,outcome,notebook_scan,notes,days_since
pr-sk21-01,sk21,cranial_window,2026-05-07,,,sk,,,,,,,,,,,,,,windowつけ,51
pr-sk22-01,sk22,cranial_window,2026-05-12,,,sk,,,,,,,,,,,,,,windowつけ,46
pr-sk23-01,sk23,cranial_window,2026-05-14,,,sk,,,,,,,,,,,,,,windowつけ,44
pr-sk24-01,sk24,cranial_window,2026-05-14,,,sk,,,,,,,,,,,,,,windowつけ,44
pr-sk25-01,sk25,viral_injection,2026-05-28,ser-sk25-01,1,sk,3-mixed,ip,ketoprophen,sc,AAV1-hSyn-soma-GCamp8s(1/3),ic,L,Barrel cortex,,,,,,aav injection,30
pr-sk26-01,sk26,cranial_window,2026-06-01,,,sk,,,,,,,,,,,,,,windowつけ,26
pr-sk27-01,sk27,viral_injection,2026-06-02,ser-sk27-01,,sk,3-mixed,,ketoprophen,sc,AAV1-hSyn-soma-GCamp8s(1/3),ic,L,Barrel cortex,,,,,,aav injection,25
pr-sk28-01,sk28,viral_injection,2026-06-02,,,sk,3-mixed,,ketoprophen,sc,AAV1-hSyn-soma-GCamp8s(1/3),ic,L,Barrel cortex,,,,,,aav injection,25
pr-sk29-01,sk29,viral_injection,2026-06-04,,,sk,3-mixed,,ketoprophen,sc,AAV1-hSyn-soma-GCamp8s(1/3),ic,L,Barrel cortex,,,,,,aav injection,23
pr-sk30-01,sk30,viral_injection,2026-06-04,,,sk,3-mixed,,ketoprophen,sc,AAV1-hSyn-soma-GCamp8s(1/3),ic,L,Barrel cortex,,,,,,aav injection,23
pr-sk31-01,sk31,PoRTs_window,2026-06-08,,,sk,,,,,,,,,,,,,,windowつけ,19
pr-sk32-01,sk32,PoRTs_window,2026-06-08,,,sk,,,,,,,,,,,,,,windowつけ,19
